db_slug,database_path,mtime_utc,bytes,table_count,schema_class,schema_sha256,work_items,dependencies,notes,role_transitions,queue,work,review,blocked,terminal,adjudication_class,canonical_treatment
adops-78854735f2d1eae5,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/adops-78854735f2d1eae5/current-tasks.db,2026-06-16T12:09:33.301804+00:00,1060864,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,13,10,117,26,0,0,0,0,13,modern_project_with_content,project-specific provenance only; do not collapse into dopemux current state
code-7a0619e5c9daa92b,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/code-7a0619e5c9daa92b/current-tasks.db,2026-06-02T02:27:55.592675+00:00,192512,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,0,0,0,0,0,0,0,0,0,modern_empty_shell,register as source DB with empty current-state import
design-system-c5d7abbbc5308887,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/design-system-c5d7abbbc5308887/current-tasks.db,2026-06-16T16:08:24.792134+00:00,192512,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,0,0,0,0,0,0,0,0,0,modern_empty_shell,register as source DB with empty current-state import
djdom-generator-6fa2dd66f9875f43,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/djdom-generator-6fa2dd66f9875f43/current-tasks.db,2026-06-16T05:06:30.299170+00:00,192512,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,0,0,0,0,0,0,0,0,0,modern_empty_shell,register as source DB with empty current-state import
djdom.vip-16eeb6ab0e1fc1fb,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/djdom.vip-16eeb6ab0e1fc1fb/current-tasks.db,2026-06-19T19:27:21.111026+00:00,192512,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,0,0,0,0,0,0,0,0,0,modern_empty_shell,register as source DB with empty current-state import
dnh-design-system-7ec76f511376d55b,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dnh-design-system-7ec76f511376d55b/current-tasks.db,2026-06-18T05:27:24.105812+00:00,192512,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,0,0,0,0,0,0,0,0,0,modern_empty_shell,register as source DB with empty current-state import
dnh_crm-86a8581e0d29956a,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dnh_crm-86a8581e0d29956a/current-tasks.db,2026-05-17T22:53:41.738846+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dnh_crm-91b6ab42d465b1df,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dnh_crm-91b6ab42d465b1df/current-tasks.db,2026-05-18T01:31:07.192398+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dnh_crm-93f2e708ffe5d917,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dnh_crm-93f2e708ffe5d917/current-tasks.db,2026-05-18T02:43:00.168346+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dnh_crm-9a4e9aa8a329cdd5,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dnh_crm-9a4e9aa8a329cdd5/current-tasks.db,2026-06-16T05:58:24.189541+00:00,454656,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,13,11,20,6,11,0,0,1,1,modern_project_with_content,project-specific provenance only; do not collapse into dopemux current state
dnh_crm-dfd57cc28acc8173,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dnh_crm-dfd57cc28acc8173/current-tasks.db,2026-05-18T00:52:43.381058+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dnh_crm__recovery_20260504t060227z-057a631f251d291a,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dnh_crm__recovery_20260504t060227z-057a631f251d291a/current-tasks.db,2026-05-17T12:57:43.731373+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dnh_crm__recovery_20260504t060227z-364b7472ece807d7,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dnh_crm__recovery_20260504t060227z-364b7472ece807d7/current-tasks.db,2026-05-16T11:49:59.568584+00:00,126976,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,17,16,17,0,17,0,0,0,0,legacy_recovery_non_empty,historical recovery provenance only; stage and dedupe before any current-state use
dom-holly-chaturbate-automation-build-f26a0ae16e19f454,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dom-holly-chaturbate-automation-build-f26a0ae16e19f454/current-tasks.db,2026-05-19T18:33:07.232284+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dope-arch-investigation-43f7c62ef5b91aea,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dope-arch-investigation-43f7c62ef5b91aea/current-tasks.db,2026-05-16T12:45:15.777181+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dopemux-mvp-00c48dc6c9423ff6,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dopemux-mvp-00c48dc6c9423ff6/current-tasks.db,2026-05-17T11:01:40.980362+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dopemux-mvp-143c9b6ca1943ff2,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dopemux-mvp-143c9b6ca1943ff2/current-tasks.db,2026-05-17T23:55:55.844371+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dopemux-mvp-2e346e2084bca021,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dopemux-mvp-2e346e2084bca021/current-tasks.db,2026-06-22T19:27:29.536638+00:00,6750208,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,418,363,399,322,238,18,9,3,150,active_current_dopemux,current dopemux workflow-memory source for this pack
dopemux-mvp-39f7161d1e4d1724,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dopemux-mvp-39f7161d1e4d1724/current-tasks.db,2026-05-18T01:13:40.881337+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dopemux-mvp-76b731e4c7930ae9,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dopemux-mvp-76b731e4c7930ae9/current-tasks.db,2026-05-17T12:53:32.789255+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dopemux-mvp-d288d32dab57ab1d,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dopemux-mvp-d288d32dab57ab1d/current-tasks.db,2026-05-31T07:04:53.665267+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dopemux-mvp-e68cb90b39feb589,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dopemux-mvp-e68cb90b39feb589/current-tasks.db,2026-05-16T09:33:12.825728+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
dopetask-f4a80fda7c6159f2,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/dopetask-f4a80fda7c6159f2/current-tasks.db,2026-05-19T18:33:05.950284+00:00,118784,5,legacy,a1cef6118413534c569a748ad08253e7fc9e62bee90e33b15ec94e9d7d6c02a1,0,0,0,0,0,0,0,0,0,legacy_empty_shell,stale or empty provenance only
firestick-control-a3fce4918082f41f,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/firestick-control-a3fce4918082f41f/current-tasks.db,2026-06-05T05:53:19.317954+00:00,1212416,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,78,63,80,107,17,5,0,1,55,modern_project_with_content,project-specific provenance only; do not collapse into dopemux current state
openclaw_marketplace_agent_docs-93c97c3f69eb862b,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/openclaw_marketplace_agent_docs-93c97c3f69eb862b/current-tasks.db,2026-06-16T05:58:26.038541+00:00,192512,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,0,0,0,0,0,0,0,0,0,modern_empty_shell,register as source DB with empty current-state import
task-orchestrator-af31f83cb7431f83,/Users/hue/.local/share/dopemux-mission-control/task-orchestrator/task-orchestrator-af31f83cb7431f83/current-tasks.db,2026-06-12T06:07:25.782996+00:00,192512,25,modern,98a81d9e73e5ce155a996ca3cfd36bfe28b3819792adad412b9dcaa976f353fa,0,0,0,0,0,0,0,0,0,modern_empty_shell,register as source DB with empty current-state import
