pr,head_sha,base_ref,base_sha,is_non_main_base,predecessor_pr,base_drift_detected,merge_base_with_main,ahead_of_main,behind_main,main_is_ancestor,head_is_ancestor,head_tree,main_contains_patch,merge_compatibility_against_main,topology_class
1113,bf6cf155d1ad764f8a9479f0988bc3066a5ceb24,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,91a313424252b29281b2e10655d784fcc98136ad,1,84,False,False,51955c5b1f34a8a69c8847b89ed9b7fa5228e8f3,False,CLEAN,STALE_REPAIRABLE
1115,396c32013ea91552d08677b245c1b5739b2d2264,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,91a313424252b29281b2e10655d784fcc98136ad,1,84,False,False,61caed1f21b8ce5764d0ea9b7cfe0e0b9a12df3d,False,CLEAN,STALE_REPAIRABLE
1117,350123f5bb058e5f195349f0197a128416392201,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,f4e91574a11e7f0e73d096b7b36def0230627727,1,83,False,False,8e92b00671702b883fb57d7b0048466bffbafe96,False,CLEAN,STALE_REPAIRABLE
1118,d13b4aacc9765384e598ef950bb4c9acd9954697,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,f4e91574a11e7f0e73d096b7b36def0230627727,1,83,False,False,844f296a230f9075c682c39450dd0711928e4083,False,CLEAN,STALE_REPAIRABLE
1123,0181fc9e8bd79b208a1f25cf56db757b90a080a4,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,9dde3ac1ae348b158645dfd272e16f28afd6e909,4146,4304,False,False,6bf49d5169066416f519e846d762545a448e9446,False,CONFLICTING,CONFLICTING_REPAIRABLE
1127,5bcadcb59427a5f1094d3bc0ed0e94de9ed9a74f,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,e9fde7c3eb6827124b7a9671a20a31188ff073e7,3,82,False,False,90092ccc1dfb4962f18f90c9465e6e83e287715c,False,CLEAN,STALE_REPAIRABLE
1128,e41d134b5b0f32b5475ab5f094274bfac2259601,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,f4e91574a11e7f0e73d096b7b36def0230627727,15,83,False,False,8ef06d015b1176e50b403b39749a1a9a7ad6c278,False,CONFLICTING,CONFLICTING_REPAIRABLE
1136,df25e44b4ef320f7813249a9fcbd234cfdd413e0,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,899082ae74155b2412a2ce862376438c1d33d13e,3,10,False,False,1fbefdaa826ea79c2c42ec33dbd9283906796a9a,False,CLEAN,STALE_REPAIRABLE
1137,f585d7e271e43c4996244f41c6e9ec44ed79fc4c,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,9a52ecf4328f28756c3e87a2c351e60d46b805f6,6,61,False,False,2ec2f16700d1dfa6c8e78db7d30f945683fbb823,False,CLEAN,STALE_REPAIRABLE
1138,7e4bc6359cfc8efc58adb0ba8fbc1f59ee8a5805,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,9a52ecf4328f28756c3e87a2c351e60d46b805f6,8,61,False,False,ed160081f6e22a4c82c4ae8207cedf2bcec424e6,False,CLEAN,STALE_REPAIRABLE
1143,8147bf929910592088df771d1f92a782d8a5ad62,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,1229b4cfab8a3b57753aa4c7eee3588a01e46a23,1,45,False,False,080932fcae74d74121be30f4471f3a6ff16c4de5,False,CLEAN,STALE_REPAIRABLE
1145,b6e686757fdb23b78861586c49adb42c4a3ce262,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,1,41,False,False,5bc304cfc907153ea4e15f1db4699a71ca32e2e0,False,CLEAN,STALE_REPAIRABLE
1146,eb2bfdce946995fff025831bc499fae33fe686cc,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,1,41,False,False,3bc4ee630bbd901e013eba2694ece7a09630880c,False,CLEAN,STALE_REPAIRABLE
