conport-1  | 2026-02-01 07:28:56,510 [INFO] conport: Built FastAPI app for conport
conport-1  | 2026-02-01 07:28:56,572 [INFO] conport: Will watch for changes in these directories: ['/app/services/conport']
conport-1  | 2026-02-01 07:28:56,572 [INFO] conport: Uvicorn running on http://0.0.0.0:8005 (Press CTRL+C to quit)
conport-1  | 2026-02-01 07:28:56,572 [INFO] conport: Started reloader process [1] using WatchFiles
conport-1  | 2026-02-01 07:28:57,123 [INFO] conport: Built FastAPI app for conport
conport-1  | 2026-02-01 07:28:57,181 [INFO] conport: Built FastAPI app for conport
conport-1  | 2026-02-01 07:28:57,182 [INFO] conport: Started server process [8]
conport-1  | 2026-02-01 07:28:57,182 [INFO] conport: Waiting for application startup.
conport-1  | 2026-02-01 07:28:57,182 [INFO] conport: PHASE service=conport phase=lifespan status=start t=1769930937.183
conport-1  | 2026-02-01 07:28:57,182 [INFO] conport: PHASE service=conport phase=load_settings status=start t=1769930937.183
conport-1  | 2026-02-01 07:28:57,183 [INFO] conport: PHASE service=conport phase=load_settings status=ok t=1769930937.183
conport-1  | 2026-02-01 07:28:57,183 [INFO] conport: START service=conport host=0.0.0.0 port=8005 version=1.0.0 deps=none
conport-1  | 2026-02-01 07:28:57,183 [INFO] conport: PHASE service=conport phase=postgres_probe status=start t=1769930937.183
conport-1  | 2026-02-01 07:28:57,183 [INFO] conport: 🚀 conport - Starting up
conport-1  | 2026-02-01 07:28:57,183 [INFO] conport: ✅ conport - READY
conport-1  | 2026-02-01 07:28:57,183 [INFO] conport: PHASE service=conport phase=postgres_probe status=fail t=1769930937.183 detail=connection_failed
conport-1  | 2026-02-01 07:28:57,183 [INFO] conport: PHASE service=conport phase=routes_ready status=ok t=1769930937.183
conport-1  | 2026-02-01 07:28:57,183 [INFO] conport: Application startup complete.
conport-1  | 2026-02-01 07:29:00,702 [INFO] conport: 127.0.0.1:57710 - "GET /health HTTP/1.1" 200
conport-1  | 2026-02-01 07:29:10,751 [INFO] conport: 127.0.0.1:35610 - "GET /health HTTP/1.1" 200
conport-1  | 2026-02-01 07:29:20,792 [INFO] conport: 127.0.0.1:50088 - "GET /health HTTP/1.1" 200
conport-1  | 2026-02-01 07:29:30,843 [INFO] conport: 127.0.0.1:46264 - "GET /health HTTP/1.1" 200
conport-1  | 2026-02-01 07:29:40,892 [INFO] conport: 127.0.0.1:53400 - "GET /health HTTP/1.1" 200
conport-1  | 2026-02-01 07:29:50,956 [INFO] conport: 127.0.0.1:46886 - "GET /health HTTP/1.1" 200
conport-1  | 2026-02-01 07:30:01,005 [INFO] conport: 127.0.0.1:56066 - "GET /health HTTP/1.1" 200
conport-1  | 2026-02-01 07:30:11,058 [INFO] conport: 127.0.0.1:54528 - "GET /health HTTP/1.1" 200
